protein	pdb/af50m	empty	best_ann	annotation_found	low_information
2220672962	af50m	False	Uncharacterized protein	False	False
1003341946	af50m	True	NA	NA	NA
952977545	af50m	False	NTP pyrophosphatase (Non-canonical NTP hydrolase)	True	False
1595689349	af50m	False	Uncharacterized protein	False	False
149408236	af50m	True	NA	NA	NA
2416396851	af50m	True	NA	NA	NA
1735346764	af50m	False	Uncharacterized protein	False	False
149408396	af50m	True	NA	NA	NA
1735346966	af50m	False	Sensor histidine kinase	True	False
965692199	af50m	True	NA	NA	NA
1015794546	af50m	False	Phage transcriptional regulator	True	False
2095861088	af50m	False	Macro domain-containing protein	True	False
1735347571	af50m	False	Uncharacterized protein	False	False
1735347611	af50m	False	Uncharacterized protein	False	False
2095861151	af50m	True	NA	NA	NA
2095861232	af50m	True	NA	NA	NA
1735347701	af50m	False	Uncharacterized protein	False	False
1735347743	af50m	False	Putative SbcC	True	False
1735347827	af50m	True	NA	NA	NA
1735347914	af50m	True	NA	NA	NA
1776603130	af50m	False	Uncharacterized protein	False	False
1720701097	af50m	False	PriA_3primeBD domain-containing protein	True	False
323145903	af50m	False	SprT family zinc-dependent metalloprotease	True	False
323146080	af50m	True	NA	NA	NA
2040222115	af50m	False	Prophage PssSM-02	True	False
2040222169	af50m	True	NA	NA	NA
2040222619	af50m	False	Uncharacterized protein	False	False
2040222875	af50m	True	NA	NA	NA
2079970596	af50m	False	LamGL domain-containing protein	True	False
2079970646	af50m	True	NA	NA	NA
1168037921	af50m	True	NA	NA	NA
936761472	af50m	True	NA	NA	NA
936761591	af50m	False	Uncharacterized protein	False	False
401824195	af50m	False	Putative prophage PSSB64-02, Orf47	True	False
1384045198	af50m	True	NA	NA	NA
1356683972	af50m	False	Uncharacterized protein	False	False
2425642312	af50m	True	NA	NA	NA
2287984000	af50m	False	Uncharacterized protein	False	False
2425642384	af50m	True	NA	NA	NA
2425642459	af50m	False	Lytic transglycosylase catalytic	True	False
2287984096	af50m	False	HTH psq-type domain-containing protein	True	False
1625841228	af50m	True	NA	NA	NA
9625371	af50m	False	Attachment protein	True	False
1428087068	af50m	True	NA	NA	NA
2177196466	af50m	True	NA	NA	NA
1188258265	af50m	False	Rha family transcriptional regulator	True	False
1585635868	af50m	True	NA	NA	NA
1585635920	af50m	False	Uncharacterized protein	False	False
1585635998	af50m	True	NA	NA	NA
2095866551	af50m	True	NA	NA	NA
1585636060	af50m	True	NA	NA	NA
1585636110	af50m	True	NA	NA	NA
1078190864	af50m	False	YjbQ family protein	True	False
1585636164	af50m	True	NA	NA	NA
1585636212	af50m	True	NA	NA	NA
1565778894	af50m	False	Uncharacterized protein	False	False
1447715929	af50m	False	Putative metal-dependent HD superfamily phosphohydrolase	True	True
2019615833	af50m	False	Uncharacterized protein	False	False
1447715990	af50m	False	HDOD domain-containing protein	True	False
2019615896	af50m	True	NA	NA	NA
2019615943	af50m	False	Uncharacterized protein	False	False
2019615995	af50m	True	NA	NA	NA
2019616040	af50m	True	NA	NA	NA
2095867193	af50m	False	Uncharacterized protein	False	False
2019616096	af50m	True	NA	NA	NA
431809976	af50m	True	NA	NA	NA
398255824	af50m	False	Ribonucleoside-diphosphate reductase	True	False
398256088	af50m	False	Uncharacterized protein	False	False
1585637551	af50m	False	Uncharacterized protein	False	False
2476107954	af50m	True	NA	NA	NA
2579720428	af50m	False	Uncharacterized protein	False	False
1585637618	af50m	False	Zn-dependent PLC domain-containing protein	True	False
1971775897	af50m	False	Fe2OG dioxygenase domain-containing protein	True	False
2177952652	af50m	False	Uncharacterized protein	False	False
1995959711	af50m	False	Uncharacterized protein	False	False
1021472729	af50m	False	HK97 gp10 family phage protein	True	False
1900769325	af50m	True	NA	NA	NA
2419093683	af50m	False	TPP_enzyme_M domain-containing protein	True	True
2086990007	af50m	True	NA	NA	NA
2476110151	af50m	True	NA	NA	NA
2419093840	af50m	False	Replicative primase/helicase	True	True
2209083804	af50m	True	NA	NA	NA
2419093921	af50m	True	NA	NA	NA
2419094004	af50m	False	DNA_pol_B domain-containing protein	True	False
2209084148	af50m	False	DUF2514 domain-containing protein	False	True
2314662645	af50m	False	Possible DNA-dependent RNA polymerase	True	True
1736635495	af50m	False	Putative glycosyltransferase	True	False
1769043072	af50m	False	Putative tail protein	True	False
1736635549	af50m	False	Uncharacterized protein	False	False
1635513529	af50m	False	Uncharacterized protein	False	False
1736635725	af50m	False	ParB domain-containing protein	True	False
1269167553	af50m	False	Tail tape measure protein	True	False
1269167617	af50m	False	Membrane dipeptidase	True	False
1269167686	af50m	False	Uncharacterized protein	False	False
2162914888	af50m	True	NA	NA	NA
2395568002	af50m	False	Transcriptional regulator	True	False
2095937419	af50m	False	Morphogenetic protein	True	False
2095937484	af50m	False	BIG2 domain-containing protein	True	False
2569304182	af50m	False	Exonuclease domain-containing protein	True	False
1608087717	af50m	True	NA	NA	NA
988346577	af50m	False	Uncharacterized protein	False	False
1608087766	af50m	True	NA	NA	NA
2569304290	af50m	False	Uncharacterized protein	False	False
1608087812	af50m	True	NA	NA	NA
2569304339	af50m	True	NA	NA	NA
2569304385	af50m	True	NA	NA	NA
2347366755	af50m	True	NA	NA	NA
2347366808	af50m	True	NA	NA	NA
1278278312	af50m	True	NA	NA	NA
2190146251	af50m	True	NA	NA	NA
1009089246	af50m	False	Putative structural protein	True	False
1009089417	af50m	False	PF11863 domain protein	True	True
2190146473	af50m	False	Minor capsid protein	True	False
2190146542	af50m	True	NA	NA	NA
2476866571	af50m	True	NA	NA	NA
2190146600	af50m	True	NA	NA	NA
2470345832	af50m	False	Uncharacterized protein	False	False
410025167	af50m	True	NA	NA	NA
2162916565	af50m	False	AAA family ATPase	True	False
1009089775	af50m	True	NA	NA	NA
1009089883	af50m	False	Clp protease ClpP	True	False
1009089964	af50m	False	Aminoacyl-tRNA hydrolase	True	False
2189032948	af50m	False	HD domain-containing protein	True	False
2080079552	af50m	False	Antitoxin of toxin-antitoxin stability system	True	False
2080079622	af50m	False	Uncharacterized protein	False	False
2080079721	af50m	False	G patch domain and KOW motifs-containing protein-like protein	True	False
2045509494	af50m	False	Prophage PSSB64-02	True	False
2214231981	af50m	False	MoxJ protein	True	False
2080079803	af50m	False	Uncharacterized protein	False	False
1321075212	af50m	False	Triple helix repeat-containing collagen	True	False
1321075281	af50m	True	NA	NA	NA
937263705	af50m	True	NA	NA	NA
1321075306	af50m	False	Glutamate 5-kinase	True	False
865993472	af50m	False	PriCT_1 domain-containing protein	True	True
2196309276	af50m	False	Uncharacterized protein	False	False
409994681	af50m	False	Chitin-binding type-3 domain-containing protein	True	False
968066742	af50m	False	Uncharacterized protein	False	False
2552399711	af50m	False	Phage tail tape measure protein, TP901 family, core region	True	False
387155853	af50m	True	NA	NA	NA
1870366752	af50m	True	NA	NA	NA
1870366806	af50m	False	Uncharacterized protein	False	False
1870366884	af50m	False	RyR domain-containing protein	True	False
2468022656	af50m	False	Glycoside hydrolase family 19	True	False
1376324290	af50m	True	NA	NA	NA
590121746	af50m	False	Protein kleF	True	False
1908379341	af50m	True	NA	NA	NA
2258079490	af50m	True	NA	NA	NA
2054262538	af50m	True	NA	NA	NA
48697112	af50m	True	NA	NA	NA
383389566	af50m	True	NA	NA	NA
2512621464	af50m	False	VWFA domain-containing protein	True	True
383389622	af50m	True	NA	NA	NA
383389672	af50m	True	NA	NA	NA
383389722	af50m	False	Uncharacterized protein	False	False
383389775	af50m	True	NA	NA	NA
383389826	af50m	True	NA	NA	NA
383389871	af50m	True	NA	NA	NA
2492010705	af50m	False	DNA maturase B	True	False
383389918	af50m	False	Uncharacterized protein	False	False
974131584	af50m	False	Putative phage holin	True	False
1041568217	af50m	True	NA	NA	NA
2127008223	af50m	False	Phage stabilisation protein	True	False
1483608576	af50m	False	Head protein	True	False
1336447822	af50m	False	Gamma-glutamylcyclotransferase	True	False
1336447956	af50m	False	Flagellar hook capping protein	True	True
1483609509	af50m	False	Uncharacterized protein	False	False
1249580768	af50m	False	RimK domain-containing protein	True	False
1882265393	af50m	True	NA	NA	NA
1199937609	af50m	True	NA	NA	NA
1033017465	af50m	True	NA	NA	NA
1199937665	af50m	True	NA	NA	NA
1845926024	af50m	True	NA	NA	NA
1199937738	af50m	True	NA	NA	NA
585865431	af50m	False	Uncharacterized protein	False	False
1199937805	af50m	True	NA	NA	NA
1199937865	af50m	True	NA	NA	NA
1199937923	af50m	False	Fe2OG dioxygenase domain-containing protein	True	False
1199937988	af50m	True	NA	NA	NA
1808210413	af50m	False	DNA_LIGASE_A3 domain-containing protein	True	False
1199938046	af50m	True	NA	NA	NA
1199938092	af50m	False	PF07102 family protein	True	True
1808210515	af50m	False	Uncharacterized protein	False	False
1199938152	af50m	True	NA	NA	NA
1199938188	af50m	True	NA	NA	NA
1829640857	af50m	False	Uncharacterized protein	False	False
1822268088	af50m	True	NA	NA	NA
606215018	af50m	True	NA	NA	NA
2220661793	af50m	False	Macro domain-containing protein	True	False
2220661850	af50m	False	Phage tail-collar fibre protein	True	False
610507899	af50m	False	Uncharacterized protein	False	False
2220661933	af50m	False	Uncharacterized protein	False	False
2220661947	af50m	True	NA	NA	NA
2220662009	af50m	True	NA	NA	NA
1896095007	af50m	False	Putative prophage PSSB64-02, Orf37	True	False
2220662070	af50m	False	GIY-YIG domain-containing protein	True	False
2220662145	af50m	False	Uncharacterized protein	False	False
2220662202	af50m	False	Uncharacterized protein	False	False
1846451711	af50m	False	Putative bacteriophage protein	False	False
1026924269	af50m	False	RIIB Protector from prophage-induced early lysis	True	False
1026924314	af50m	False	Recombinase	True	False
1026924357	af50m	False	Phosphate starvation-inducible protein PhoH	True	False
1026924405	af50m	False	Clp protease ClpP	True	False
198385614	af50m	False	Conserved hypothetical phage protein Putative tail fiber assembly protein	True	False
318054502	af50m	False	PolyA_pol domain-containing protein	True	False
713662649	af50m	False	SprT-like domain-containing protein	True	False
2494013677	af50m	False	Uncharacterized protein	False	False
2494013719	af50m	True	NA	NA	NA
2494013761	af50m	True	NA	NA	NA
954540364	af50m	False	Phage tail protein	True	False
2508693859	af50m	False	Putative stress-responsive nuclear envelope protein	True	False
954540431	af50m	False	ATP-dependent hsl protease ATP-binding subunit hslU (ATP-bindingprotein lapA)	True	False
2494013890	af50m	True	NA	NA	NA
2451841545	af50m	False	HNHc domain-containing protein	True	False
2494013966	af50m	False	Macro domain-containing protein	True	False
1209836122	af50m	True	NA	NA	NA
1209836181	af50m	False	Uncharacterized protein	False	False
713663140	af50m	False	AAA family ATPase	True	False
1241129661	af50m	False	Uncharacterized protein	False	False
1209836240	af50m	False	Uncharacterized protein	False	False
1698243384	af50m	False	Phage head closure protein	True	False
1209836368	af50m	True	NA	NA	NA
1209836418	af50m	False	GntR family transcriptional regulator	True	False
1278224001	af50m	False	DUF2213 domain-containing protein	False	True
1278224054	af50m	False	Uncharacterized protein	False	False
1278224111	af50m	True	NA	NA	NA
1278224176	af50m	True	NA	NA	NA
209528734	af50m	False	Methyltransferase	True	True
2028284384	af50m	True	NA	NA	NA
1049307969	af50m	False	Internal virion protein A	True	False
563784715	af50m	False	ParB-like chromosome segregation protein Spo0J	True	False
1834462428	af50m	True	NA	NA	NA
1834462679	af50m	True	NA	NA	NA
17313239	af50m	False	Phage tail protein	True	False
1834463025	af50m	False	Regulator	True	False
4927382	af50m	True	NA	NA	NA
1834463135	af50m	False	HI1409 family phage-associated protein	True	True
1278226424	af50m	True	NA	NA	NA
471216508	af50m	False	aGPT-Pplase2 domain-containing protein	True	False
2296132010	af50m	False	Dihydrofolate reductase	True	False
2333487599	af50m	True	NA	NA	NA
334737999	af50m	False	Phage tail protein	True	True
334738048	af50m	False	Uncharacterized protein	False	False
2333487748	af50m	False	Uncharacterized protein	False	False
334738116	af50m	True	NA	NA	NA
334738186	af50m	True	NA	NA	NA
334738231	af50m	True	NA	NA	NA
334738276	af50m	True	NA	NA	NA
334738316	af50m	True	NA	NA	NA
1832334221	af50m	True	NA	NA	NA
334738349	af50m	True	NA	NA	NA
223556773	af50m	True	NA	NA	NA
33338598	af50m	False	Uncharacterized protein	False	False
2441065732	af50m	True	NA	NA	NA
723006762	af50m	False	Putative phage replication protein O	True	False
2441065856	af50m	False	Tail fiber protein	True	False
529282473	af50m	False	GNAT family N-acetyltransferase	True	False
529282584	af50m	True	NA	NA	NA
529282655	af50m	True	NA	NA	NA
1899050619	af50m	False	53EXOc domain-containing protein	True	False
2296133256	af50m	True	NA	NA	NA
529282728	af50m	True	NA	NA	NA
701904554	af50m	True	NA	NA	NA
345650866	af50m	True	NA	NA	NA
1899050694	af50m	True	NA	NA	NA
2306488028	af50m	True	NA	NA	NA
1585559296	af50m	False	SmpA / OmlA family protein	True	True
529282820	af50m	True	NA	NA	NA
1899050848	af50m	True	NA	NA	NA
1596078059	af50m	False	Predicted protein	False	False
371767388	af50m	False	Siphovirus Gp157 family protein	True	False
1613838783	af50m	False	Uncharacterized protein	False	False
2289973844	af50m	False	Uncharacterized protein	False	False
2289973927	af50m	False	Ribonucleoside-diphosphate reductase	True	False
148912812	af50m	False	Conserved phage protein	False	False
2289974209	af50m	True	NA	NA	NA
164609238	af50m	True	NA	NA	NA
2449456393	af50m	True	NA	NA	NA
164609306	af50m	True	NA	NA	NA
2449456447	af50m	False	Uncharacterized protein	False	False
164609352	af50m	False	DNA-directed RNA polymerase	True	False
2289974601	af50m	False	DEAD/DEAH box helicase family protein	True	False
1585560941	af50m	False	Phage head morphogenesis protein, SPP1 gp7 family	True	False
2449456499	af50m	True	NA	NA	NA
164609421	af50m	True	NA	NA	NA
2449456567	af50m	False	Fe2OG dioxygenase domain-containing protein	True	False
164609486	af50m	True	NA	NA	NA
2449456636	af50m	True	NA	NA	NA
164609544	af50m	True	NA	NA	NA
164609597	af50m	True	NA	NA	NA
2449456705	af50m	True	NA	NA	NA
164609650	af50m	False	Uncharacterized protein	False	False
1585561218	af50m	True	NA	NA	NA
1024212697	af50m	False	Internal virion protein C	True	False
1585561321	af50m	False	AP2/ERF domain-containing protein	True	False
1278230278	af50m	False	Uncharacterized protein	False	False
1278230372	af50m	False	Uncharacterized protein	False	False
1585561471	af50m	False	Eaa1	True	False
1007009720	af50m	False	Tail tubular protein B	True	False
2442346428	af50m	True	NA	NA	NA
1269186775	af50m	False	Thymidylate synthase	True	False
1269186940	af50m	False	Uncharacterized protein	False	False
82657897	af50m	False	Virion structural protein	True	False
82657936	af50m	True	NA	NA	NA
2234368730	af50m	True	NA	NA	NA
82658031	af50m	True	NA	NA	NA
2463122665	af50m	True	NA	NA	NA
359843198	af50m	False	Uncharacterized protein	False	False
1585563207	af50m	False	Uncharacterized protein	False	False
1825588932	af50m	False	Uncharacterized protein	False	False
2560280616	af50m	True	NA	NA	NA
1003341938	af50m	False	HNHc domain-containing protein	True	False
952977544	af50m	True	NA	NA	NA
2416396466	af50m	False	Uncharacterized protein	False	False
149408235	af50m	True	NA	NA	NA
2416396849	af50m	False	Uncharacterized protein	False	False
1735346964	af50m	False	Thymidylate synthase	True	False
1585564449	af50m	False	FHA domain-containing protein	True	False
965692198	af50m	False	Uncharacterized protein	False	False
1015794543	af50m	False	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1	True	False
1774636130	af50m	False	Site-specific recombinase	True	True
1332563139	af50m	True	NA	NA	NA
2095861150	af50m	True	NA	NA	NA
2095861226	af50m	False	Uncharacterized protein	False	False
1735347700	af50m	False	Membrane protein, putative	False	True
1735347742	af50m	False	VgrG-related protein	True	False
1735347913	af50m	False	Putative GIY-YIG homing endonuclease	True	False
2220674949	af50m	False	CMP/dCMP-type deaminase domain-containing protein	True	True
1776603037	af50m	True	NA	NA	NA
1562103760	af50m	True	NA	NA	NA
1776603129	af50m	True	NA	NA	NA
1720701094	af50m	False	DUF669 domain-containing protein	False	True
323145899	af50m	True	NA	NA	NA
2429571450	af50m	True	NA	NA	NA
2040222165	af50m	False	Single-stranded DNA-binding protein	True	False
1043845734	af50m	True	NA	NA	NA
2116899646	af50m	False	Uncharacterized protein	False	False
2040222615	af50m	True	NA	NA	NA
2079970374	af50m	True	NA	NA	NA
2040222872	af50m	True	NA	NA	NA
2079970595	af50m	False	Uncharacterized protein	False	False
2366068038	af50m	True	NA	NA	NA
2079970950	af50m	True	NA	NA	NA
111433590	af50m	False	Mu-like prophage major head subunit gpT family protein	True	False
1168037915	af50m	False	Uncharacterized protein	False	False
936761467	af50m	True	NA	NA	NA
936761590	af50m	False	Uncharacterized protein	False	False
401824067	af50m	True	NA	NA	NA
936761690	af50m	False	HTH iclR-type domain-containing protein	True	True
1384045081	af50m	True	NA	NA	NA
1384045099	af50m	True	NA	NA	NA
1384045193	af50m	True	NA	NA	NA
1356683970	af50m	False	Uncharacterized protein	False	False
846388411	af50m	False	Type VI secretion system tip protein VgrG	True	True
2425642310	af50m	False	Phage terminase large subunit	True	False
2287983999	af50m	False	Uncharacterized protein	False	False
2425642383	af50m	False	Uncharacterized protein	False	False
271277966	af50m	False	Uncharacterized protein	False	False
1428087067	af50m	True	NA	NA	NA
2177196403	af50m	False	Phage tail protein	True	False
2177196465	af50m	True	NA	NA	NA
2177196523	af50m	False	Uncharacterized protein	False	False
1585635866	af50m	True	NA	NA	NA
1585635919	af50m	False	Uncharacterized protein	False	False
1585635997	af50m	True	NA	NA	NA
1585636059	af50m	True	NA	NA	NA
1585636109	af50m	True	NA	NA	NA
1585636163	af50m	True	NA	NA	NA
1585636211	af50m	True	NA	NA	NA
297591764	af50m	True	NA	NA	NA
2019615832	af50m	True	NA	NA	NA
2019615892	af50m	False	Uncharacterized protein	False	False
1447715989	af50m	False	ATP-dependent DNA helicase RecG	True	False
2019615942	af50m	True	NA	NA	NA
2019615994	af50m	True	NA	NA	NA
2019616039	af50m	True	NA	NA	NA
2095867190	af50m	False	Uncharacterized protein	False	False
2019616092	af50m	True	NA	NA	NA
2189059839	af50m	False	Cytochrome c domain-containing protein	True	True
1585637548	af50m	True	NA	NA	NA
1585637615	af50m	False	Phage tail protein	True	False
1971775895	af50m	False	GIY-YIG nuclease family protein	True	False
2177952651	af50m	True	NA	NA	NA
1995959710	af50m	False	Peptidase S74 domain-containing protein	True	False
2476109437	af50m	False	Uncharacterized protein	False	False
1021472728	af50m	False	Putative structural protein	True	False
1900769322	af50m	False	Uncharacterized protein	False	False
2419093682	af50m	False	Primase	True	True
2086990005	af50m	True	NA	NA	NA
2419093729	af50m	False	Uncharacterized protein	False	False
2476110144	af50m	True	NA	NA	NA
2419093839	af50m	False	Replicative primase/helicase	True	False
2419093920	af50m	True	NA	NA	NA
2419094001	af50m	False	Phage-tail_3 domain-containing protein	True	False
2209084147	af50m	False	Putative membrane associated protein	False	True
2314662643	af50m	False	N-acetyltransferase domain-containing protein	True	False
1769043071	af50m	False	Phage tail protein	True	False
1736635548	af50m	True	NA	NA	NA
1635513528	af50m	True	NA	NA	NA
1736635629	af50m	True	NA	NA	NA
1269167551	af50m	False	Polyphosphate kinase	True	False
2095936993	af50m	False	Putative tellurium resistance protein	True	False
1269167615	af50m	True	NA	NA	NA
1269167685	af50m	False	Metal dependent phosphohydrolase, HD region	True	False
2162914887	af50m	False	N4 gp25-like protein	True	False
2095937483	af50m	False	Putative prophage PSSB64-02, Orf20	True	False
1608087515	af50m	False	Uncharacterized protein	False	False
2569304227	af50m	True	NA	NA	NA
1608087765	af50m	True	NA	NA	NA
2569304289	af50m	False	DNA_pol3_alpha domain-containing protein	True	False
1608087810	af50m	False	DUF4262 domain-containing protein	False	True
2347366754	af50m	False	Virion structural protein	True	False
2347366807	af50m	True	NA	NA	NA
